State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
MINISO TIRUPATI,MINISO TIRUPATI,"G.f-10-13-480, Vv Mahal Road, Tirupati, Chittoor,andhra Pradesh, 517501",10:00 AM to 9:00 PM,"MINISO TIRUPATI, MINISO TIRUPATI",13.63745582,79.43343779
Mohali,VR PUNJAB,"Vr Punjab, G - 78, Ground Floor, Sector 118, Nh-21, Mohali Kharar Road, Mohali, S.a.s Nagar, Punjab, India - 160059",11:00 AM to 10:00 PM,"VR PUNJAB, Mohali",30.7379,76.67927
Mumbai,GROWELS 101 MALL,"05, Ground Floor, Growels 101 Mall, Akurli Road, Western Express Highway, Kandivali East, Mumbai - 400101",11:00 AM to 10:00 PM,"GROWELS 101 MALL, Mumbai",19.20233,72.86139
Mumbai,OBERAI MALL,"1st Floor, Miniso Lifestyle, Pvt Ltd, Western Express Hwy, Yashodham. Goregaon, Mumbai, Maharashtra-400063",11:00 AM to 9:30 PM,"OBERAI MALL, Mumbai",19.17446,72.86074
Mumbai,"BORIVALI, MUMBAI","Shop No. 3, 4 & 15, Ground And First Floor, Narayan Niwas Building, Lt Road, Next To Diamond Cinema",,"BORIVALI, MUMBAI, Mumbai",19.25265,72.84968
Mumbai,"HILL ROAD, BANDRA","50, Canara Building, Hill Road, Near Elco, Opp. Trios Mall, Bandra West, Mumbai - 400050",,"HILL ROAD, BANDRA, Mumbai",19.05507636,72.87525097
Mumbai,COLABA,"Shop No. 1, Ground And Mezz Floor, 43/45, Mathuradas Estate, Colaba Causeway, Mumbai-suburban, Mumbai, Maharashtra - 400005",11:00 AM to 9:00 PM,"COLABA, Mumbai",18.9154,72.82592
Mumbai,LOKHANDWALA COMPLEX,"Shop No. 13, Twin Tower, Lokhandwala Complex, Andheri (w), Mumbai, Maharashthra - 400047",11:00 AM to 9:00 PM,"LOKHANDWALA COMPLEX, Mumbai",19.14233,72.82862
Mumbai,R CITY MALL,"F-21 & 22, First Floor, R-city Mall, Lal Bahadur Shastri Road, Amrut Nagar, Ghatkoper, West Mumbai",11:00 AM to 10:15 PM,"R CITY MALL, Mumbai",19.13872,72.8317
Mumbai,"PHOENIX MARKETCITY, MUMBAI","F - 65, First Floor, Phoenix Market City, Kurla, Mumbai",11:00 AM to 10:00 PM,"PHOENIX MARKETCITY, MUMBAI, Mumbai",19.08598,72.88904
